gps_x,gps_y,ekf_x,ekf_y,gt_x,gt_y,GPS ?s,EKF ?s,GT ?s,,,,,?x_gt,?y_gt,STDDEV GT
24.841519,-31.436175,24.286751,-30.437821,24.76899,-30.360005,1.010496638,0.232901793,0.264705513,,,,,0.259666,-0.051406,0.264705513
25.496148,-30.666393,24.440139,-30.613079,25.028656,-30.411411,0.962455276,0.239448933,0.261501317,,,,,0.256666,-0.050055,0.261501317
26.014928,-31.477064,24.6794,-30.622564,25.285322,-30.461466,1.47136825,0.325035363,0.260780858,,,,,0.256178,-0.04878,0.260780858
26.164902,-30.013359,24.967384,-30.773273,25.5415,-30.510246,0.895484582,0.286061907,0.261491891,,,,,0.256905,-0.048763,0.261491891
26.445417,-30.863773,25.219951,-30.638955,25.798405,-30.559009,0.420494645,0.278227769,0.261819524,,,,,0.25699,-0.050056,0.261819524
26.700661,-30.529608,25.495898,-30.674507,26.055395,-30.609065,1.503656224,0.264675389,0.259971541,,,,,0.254769,-0.051749,0.259971541
27.975959,-31.326224,25.758851,-30.644361,26.310164,-30.660814,1.233087448,0.45737818,0.255155785,,,,,0.249633,-0.0528,0.255155785
26.978905,-30.600698,26.201576,-30.759206,26.559797,-30.713614,0.716143896,0.192313352,0.248198654,,,,,0.242485,-0.052949,0.248198654
27.670468,-30.786716,26.390974,-30.725847,26.802282,-30.766563,0.513824343,0.276385973,0.241127384,,,,,0.235267,-0.052838,0.241127384
28.106447,-31.058631,26.667334,-30.729636,27.037549,-30.819401,0.354040868,0.30862475,0.238471572,,,,,0.232984,-0.050864,0.238471572
27.888748,-30.779432,26.971746,-30.780455,27.270533,-30.870265,0.632341641,0.211951136,0.239473693,,,,,0.234718,-0.047488,0.239473693
27.25917,-30.720377,27.183565,-30.772972,27.505251,-30.917753,1.371356969,0.062843287,0.247007352,,,,,0.242321,-0.047887,0.247007352
28.629278,-30.661862,27.243822,-30.755129,27.747572,-30.96564,0.869612083,0.289982324,0.249755224,,,,,0.24682,-0.038178,0.249755224
28.53224,-31.526043,27.532691,-30.729743,27.994392,-31.003818,0.408379644,0.25719166,0.252826035,,,,,0.250037,-0.03745,0.252826035
28.9401,-31.505448,27.75364,-30.861383,28.244429,-31.041268,0.933892513,0.275277788,0.249521152,,,,,0.247685,-0.030215,0.249521152
28.836139,-30.57736,28.007219,-30.968507,28.492114,-31.071483,0.744779873,0.204219939,0.247996788,,,,,0.24652,-0.027024,0.247996788
29.301012,-31.159245,28.19701,-30.893107,28.738634,-31.098507,0.347045754,0.240776295,0.245240323,,,,,0.244275,-0.021738,0.245240323
29.606535,-30.994635,28.434503,-30.932734,28.982909,-31.120245,1.247531073,0.24934302,0.245078079,,,,,0.244363,-0.018708,0.245078079
30.74298,-30.480022,28.683818,-30.936472,29.227272,-31.138953,0.712291853,0.416587851,0.246954636,,,,,0.246489,-0.015158,0.246954636
30.047751,-30.32505,29.090804,-30.847546,29.473761,-31.154111,1.188075395,0.237112073,0.246016151,,,,,0.245561,-0.014958,0.246016151
30.119416,-31.510962,29.304587,-30.744984,29.719322,-31.169069,0.805746386,0.225411184,0.241929303,,,,,0.241382,-0.016264,0.241929303
30.925157,-31.513908,29.49229,-30.869795,29.960704,-31.185333,0.262717875,0.314716761,0.238467073,,,,,0.238003,-0.01487,0.238467073
30.663907,-31.486175,29.788674,-30.97564,30.198707,-31.200203,0.198556906,0.215400737,0.234960844,,,,,0.234664,-0.011807,0.234960844
30.50277,-31.370159,29.986908,-31.059906,30.433371,-31.21201,0.561956172,0.142431769,0.231146317,,,,,0.230967,-0.009103,0.231146317
30.359773,-30.826701,30.120168,-31.110191,30.664338,-31.221113,1.1474392,0.098236902,0.226929097,,,,,0.22677,-0.008496,0.226929097
31.393776,-31.324149,30.201962,-31.055783,30.891108,-31.229609,0.89245469,0.251881983,0.222146519,,,,,0.221905,-0.010356,0.222146519
31.822239,-32.107025,30.450249,-31.098187,31.113013,-31.239965,1.225546757,0.331094,0.216577643,,,,,0.216147,-0.013651,0.216577643
31.826872,-30.881487,30.731426,-31.273009,31.32916,-31.253616,0.704533045,0.243683367,0.21229797,,,,,0.211795,-0.014605,0.21229797
32.013121,-31.560956,30.964501,-31.201892,31.540955,-31.268221,0.448233169,0.232894859,0.256065022,,,,,0.255906,-0.009023,0.256065022
31.918074,-31.122916,31.189387,-31.262442,31.796861,-31.277244,1.095903545,0.170081905,0.214424375,,,,,0.214424,0.000401,0.214424375
31.964067,-32.217854,31.357281,-31.235249,32.011285,-31.276843,1.729939964,0.224857735,0.215555079,,,,,0.215453,0.006633,0.215555079
32.66826,-30.637726,31.502465,-31.406954,32.226738,-31.27021,0.786230467,0.28037713,0.217577694,,,,,0.217259,0.011772,0.217577694
32.6439,-31.423579,31.74706,-31.269897,32.443997,-31.258438,0.491075487,0.197451549,0.177990137,,,,,0.17739,0.014604,0.177990137
32.706804,-30.936549,31.943028,-31.294056,32.621387,-31.243834,1.396655278,0.184236272,0.227408692,,,,,0.226055,0.024776,0.227408692
34.103432,-30.945278,32.114815,-31.227481,32.847442,-31.219058,1.22991314,0.383052179,0.231635184,,,,,0.229415,0.031994,0.231635184
33.551672,-29.846075,32.49412,-31.174033,33.076857,-31.187064,1.693773345,0.336444722,0.234813004,,,,,0.231453,0.039581,0.234813004
34.569511,-31.199911,32.727229,-30.931432,33.30831,-31.147483,0.822919555,0.367804163,0.237931362,,,,,0.233155,0.047435,0.237931362
34.07847,-31.860271,33.093113,-30.968966,33.541465,-31.100048,2.05942475,0.26304534,0.24209388,,,,,0.23571,0.055229,0.24209388
34.279984,-29.810729,33.309373,-31.118714,33.777175,-31.044819,0.380532514,0.319340649,0.247843903,,,,,0.239742,0.062852,0.247843903
34.182319,-30.178515,33.522293,-30.880715,34.016917,-30.981967,1.002763988,0.206846779,0.254789788,,,,,0.244829,0.070545,0.254789788
35.109999,-30.559232,33.679306,-30.746058,34.261746,-30.911422,0.572364402,0.29593188,0.261860714,,,,,0.249787,0.078597,0.261860714
34.602422,-30.29472,33.97181,-30.701146,34.511533,-30.832825,0.95914301,0.173019523,0.268028817,,,,,0.253522,0.086983,0.268028817
35.551887,-30.15881,34.123146,-30.617282,34.765055,-30.745842,0.505405976,0.306435464,0.272943229,,,,,0.255781,0.095258,0.272943229
35.362002,-30.627189,34.414854,-30.523425,35.020836,-30.650584,0.638635208,0.207349715,0.277029423,,,,,0.257253,0.102792,0.277029423
35.676788,-31.182855,34.622132,-30.528878,35.278089,-30.547792,0.503667139,0.249066073,0.28104112,,,,,0.25895,0.10922,0.28104112
